ID,Author,central number,cumulative # of papers,cumulative  of co-authors,cumulative # of journals,min year of publication,max year of publication,cluster size
37551,Paul Green,5.787431,50,27,10,1965,1987,3661
38208,Gilbert Churchill,6.31612,35,25,10,1968,1987,3661
38635,Arch Woodside,6.811202,33,25,11,1974,1985,3661
38634,William Bearden,6.082786,32,20,11,1976,1986,3661
39839,Yoram Wind,5.637431,31,34,13,1969,1987,3661
39200,Donald Lehmann,5.898087,29,22,10,1972,1987,3661
38226,John Farley,6.328688,29,23,10,1968,1987,3661
66010,Dubinsky Alan,6.00765,27,20,8,1979,1987,3661
40375,John Swan,6.34836,26,21,9,1974,1986,3661
43358,Richard Staelin,5.926229,26,30,8,1971,1987,3661
38597,William Perreault,6.785245,25,18,10,1975,1984,3661
37445,Vijay Mahajan,5.395355,25,35,10,1976,1987,3661
39885,William Darden,6.584426,24,16,8,1971,1987,3661
39031,Morris Holbrook,5.967213,24,18,8,1979,1987,3661
43097,Donald Morrison,6.324863,24,16,7,1965,1987,3661
40722,Charles Futrell,6.536338,24,18,7,1976,1987,3661
41270,Charles Weinberg,6.063387,24,18,8,1975,1987,3661
40811,Jesse Teel,6.400546,23,15,8,1976,1986,3661
41545,David Aaker,6.066393,23,17,11,1969,1987,3661
39738,Robert Green,6.47377,23,19,10,1972,1987,3661
39517,Coskun Samli,7.180327,22,20,10,1969,1987,3661
40226,Joseph Bellizzi,7.852459,21,16,6,1980,1987,3661
41367,Frank Bass,5.893715,21,22,5,1967,1987,3661
41128,Danny Bellenger,6.230874,21,18,9,1973,1987,3661
42591,Jacob Jacoby,6.186885,21,23,6,1971,1986,3661
41133,Noel Capon,6.75765,20,12,6,1972,1987,3661
40687,Roger Kerin,5.805464,20,20,11,1974,1987,3661
40287,Leonard Reid,7.321311,20,14,8,1976,1985,3661
37615,Wayne Desarbo,6.086612,20,16,8,1978,1987,3661
38375,Barry Mason,6.620765,20,21,9,1975,1987,3661
41089,Robert Peterson,5.8,19,14,11,1969,1985,3661
41464,William Dillon,6.746448,19,17,8,1978,1987,3661
44592,Brian Sternthal,6.319945,19,13,3,1973,1987,3661
43968,Orville Walker,6.755464,18,13,6,1972,1987,3661
38176,Charles Lamb,6.774316,18,17,8,1977,1987,3661
39230,John Ryans,8.543169,18,15,11,1968,1987,3661
61626,Venkat Srinivasan,6.104371,18,18,8,1973,1987,3661
40286,Lawrence Soley,7.366939,17,8,6,1980,1987,3661
40426,Thomas Barry,6.446174,17,16,6,1973,1987,3661
40593,Gary Lilien,6.848087,17,10,8,1975,1987,3661
38546,Wesley Johnston,6.933606,17,10,8,1977,1987,3661
37430,George Zinkhan,6.503551,17,14,7,1983,1987,3661
43214,Robert Lusch,6.263114,17,13,8,1976,1987,3661
44599,John Summers,6.736612,17,12,3,1970,1987,3661
43805,Louis Stern,6.329781,16,17,5,1971,1987,3661
37701,William Moore,5.949453,16,15,7,1979,1987,3661
37825,Bernard Taylor,8.899726,16,11,4,1976,1985,3661
38077,Ian Mitroff,9.685519,16,6,5,1973,1984,3661
38687,Richard Durand,6.087431,16,16,7,1975,1985,3661
38720,Del Hawkins,6.963661,16,9,7,1972,1987,3661
40463,Thomas Robertson,6.371311,16,9,6,1968,1986,3661
39779,Claes Fornell,6.154371,16,12,5,1978,1987,3661
39670,Doyle Peter,7.6653,15,9,9,1975,1986,3661
39202,Shelby Hunt,6.608743,15,10,10,1972,1987,3661
40314,A Parasuraman,6.294262,15,18,6,1977,1987,3661
40175,Donald Jackson,7.605191,15,17,10,1975,1987,3661
38677,Vithala Rao,6.184699,15,13,7,1969,1987,3661
38568,Ronald Anderson,6.502459,15,7,8,1977,1986,3661
38161,Richard Olshavsky,6.242076,15,16,5,1972,1987,3661
43274,David Ricks,7.04153,15,12,3,1971,1986,3661
42866,Frank Ronald,6.179234,15,13,2,1964,1979,3661
41557,Samuel Craig,6.195355,15,10,6,1973,1986,3661
42094,Terence Shimp,6.224316,15,14,7,1976,1987,3661
44469,Gerald Albaum,6.400273,15,9,8,1973,1987,3661
44703,Alice Tybout,6.078688,15,12,3,1974,1987,3661
70520,Tamer Salih,7.568579,15,13,6,1979,1987,3661
50974,Lee Beach,17.518579,14,19,2,1976,1986,3661
44795,Allan Shocker,6.154098,14,17,7,1973,1987,3661
42169,Fred Reynolds,6.566939,14,9,6,1971,1983,3661
42398,Myron Gable,7.376502,14,17,5,1974,1987,3661
41173,Warren French,6.716393,14,15,10,1972,1987,3661
40891,William Locander,6.886612,14,12,8,1975,1987,3661
42600,Jerome Kernan,6.430874,14,14,5,1972,1987,3661
38449,Parker Lessig,6.857103,14,10,6,1971,1987,3661
38669,Hiram Barksdale,7.001912,14,15,8,1971,1987,3661
38625,John Ivancevich,7.112295,14,9,8,1970,1987,3661
39832,Asc Ehrenberg,10.103005,14,8,5,1965,1987,3661
39213,James Hulbert,6.431147,14,10,7,1971,1987,3661
39233,Erdener Kaynak,7.537431,13,12,5,1981,1987,3661
40570,Michael Levy,6.439617,13,9,7,1980,1987,3661
42487,Doyle Weiss,6.857377,13,8,3,1970,1986,3661
43254,Ambar Rao,7.519398,13,13,5,1972,1987,3661
41168,Betsy Gelb,7.060382,13,8,8,1973,1987,3661
41115,William Pride,6.704918,13,12,6,1977,1986,3661
42346,Ben Enis,6.846994,13,14,7,1969,1987,3661
45447,William Massy,6.703278,13,9,3,1964,1979,3661
44625,Robert Blattberg,6.635245,13,10,5,1970,1987,3661
44641,Bobby Calder,6.796174,13,10,4,1977,1987,3661
44589,James Bettman,6.401639,13,12,4,1972,1987,3661
45892,Shelby Mcintyre,6.336885,13,15,6,1977,1987,3661
44434,Edgar Pessemier,6.16448,12,14,5,1967,1987,3661
44801,Michael Houston,7.142076,12,9,3,1972,1987,3661
42414,Michael Etgar,6.291256,12,8,7,1976,1983,3661
42190,George Moschis,6.82377,12,6,7,1977,1987,3661
42191,Elizabeth Hirschman,6.218852,12,10,6,1978,1986,3661
42064,David Stewart,6.36448,12,12,5,1981,1987,3661
41421,Dennis Gensch,6.850819,12,9,5,1972,1987,3661
41354,Roland Rust,6.357103,12,13,6,1979,1987,3661
40964,Subhash Sharma,5.710655,12,21,5,1980,1987,3661
41041,George Day,6.276502,12,10,5,1971,1986,3661
40918,James Wilcox,6.763114,12,12,7,1974,1987,3661
43216,Philip Kotler,6.869398,12,11,7,1969,1985,3661
43774,Roy Howell,6.174043,12,14,7,1979,1987,3661
43898,James Taylor,6.822404,12,9,4,1966,1983,3661
43673,Thomas Kinnear,6.488524,12,10,6,1973,1987,3661
42477,Stephen Brown,7.594262,12,12,6,1976,1986,3661
42626,Michael Etzel,6.556557,12,9,8,1972,1986,3661
42704,Winer Russell,5.839617,12,15,7,1979,1987,3661
42865,Arun Jain,5.83142,12,10,6,1972,1984,3661
42975,James Maclachlan,6.538524,12,10,4,1978,1985,3661
39936,Gene Laczniak,6.68142,12,8,7,1977,1987,3661
39439,Ugur Yavas,7.466666,12,10,4,1977,1987,3661
39027,Jagdish Sheth,6.830601,12,11,6,1968,1985,3661
38567,Jack Engledow,6.662841,12,5,8,1977,1986,3661
38653,John Stanton,8.626775,12,9,6,1974,1987,3661
38722,Paul Farris,6.620491,12,7,5,1975,1987,3661
38162,Franklin Acito,5.701092,12,13,5,1979,1987,3661
38185,Mitchell Terence,16.534972,12,10,2,1976,1984,3661
37765,Howard Thomas,10.013387,12,10,7,1971,1987,3661
53053,K Prahalad,7.374316,12,5,5,1976,1986,3661
37777,Roger Calantone,6.804098,11,15,6,1978,1985,3661
37465,Abraham Charnes,7.185245,11,15,3,1972,1986,3661
38122,Albert Page,7.735245,11,10,7,1971,1987,3661
37974,Douglas Carroll,6.454644,11,7,5,1978,1987,3661
37986,Robert Winkler,6.755464,11,19,2,1972,1986,3661
38160,Philippe Cattin,5.97377,11,11,5,1976,1984,3661
38376,B Wilkinson,7.118852,11,9,7,1973,1986,3661
38306,Albert Wildt,5.968306,11,12,7,1968,1987,3661
38545,Thomas Bonoma,7.295628,11,5,6,1977,1984,3661
38802,Larry Cummings,8.371857,11,14,5,1976,1984,3661
40244,James Lumpkin,7.135519,11,7,7,1982,1987,3661
42868,David Reibstein,6.09153,11,12,7,1979,1986,3661
42806,Richard Hansen,6.833333,11,7,6,1972,1985,3661
42793,Albert Bruno,6.420491,11,7,9,1974,1986,3661
43142,Robert Shoemaker,6.143989,11,9,5,1975,1987,3661
43158,Ronald Bush,7.26448,11,8,5,1974,1979,3661
40934,Larry Rosenberg,6.404098,11,7,9,1971,1986,3661
40796,C Ferrell,6.696721,11,9,4,1977,1987,3661
41018,Whan Park,6.947267,11,11,5,1977,1987,3661
41688,John Quelch,7.125956,11,9,5,1981,1987,3661
44723,Michael Mazis,6.205737,11,12,4,1973,1986,3661
45417,Robert Buzzell,6.820765,11,12,6,1965,1985,3661
43967,Neil Ford,7.05601,11,7,3,1970,1985,3661
44676,John Hauser,6.460655,11,12,6,1979,1986,3661
44595,Gerald Gorn,7.026502,10,5,2,1974,1987,3661
44161,Subrata Sen,6.83989,10,7,5,1973,1983,3661
45424,Andris Zoltners,6.736338,10,10,2,1976,1986,3661
44910,Rakesh Sarin,7.127049,10,10,3,1979,1987,3661
41476,Wilton Anderson,7.039344,10,7,5,1972,1984,3661
41601,Johny Johansson,6.728688,10,9,6,1976,1987,3661
42114,Bruce Stern,7.286612,10,8,6,1971,1984,3661
42254,Jay Klompmaker,6.796721,10,7,5,1976,1981,3661
42455,George Szybillo,7.143169,10,9,4,1973,1979,3661
41258,Dick Wittink,6.262568,10,8,4,1975,1987,3661
40848,James Ginter,5.971584,10,13,8,1972,1987,3661
40620,Fred Morgan,7.648087,10,8,8,1979,1986,3661
40659,Marvin Jolson,6.99836,10,11,6,1971,1987,3661
40718,Patrick Kelly,7.797814,10,9,6,1975,1986,3661
43944,Arthur Brief,7.022131,10,5,5,1975,1987,3661
42592,Franklin Houston,7.831147,10,8,6,1974,1987,3661
40285,William Rudelius,6.790163,10,15,7,1977,1986,3661
39854,Michael Czinkota,7.311202,10,6,5,1979,1987,3661
40178,Alan Bush,6.495081,10,10,6,1983,1987,3661
39740,Isabella Cunningham,7.426229,10,9,8,1973,1983,3661
38746,Richard Hise,8.19153,10,7,7,1976,1983,3661
37466,William Cooper,7.185519,10,14,3,1973,1986,3661
37806,Moskowitz Herbert,7.546448,10,12,3,1972,1986,3661
53137,Robert Hayes,7.972131,10,9,2,1974,1986,3661
50671,Frank Yates,18.513661,10,10,1,1975,1987,3661
50702,Robert Pritchard,17.528142,10,11,1,1973,1985,3661
66528,Weitz Barton,6.379781,10,11,4,1977,1987,3661
50926,Ilgen Daniel,17.517486,9,11,2,1974,1985,3661
37527,William Berry,8.416666,9,10,2,1972,1987,3661
37530,Gregory Northcraft,9.309836,9,4,3,1984,1987,3661
38127,Fred Glover,8.716393,9,10,2,1972,1986,3661
38129,Auken Van,8.694808,9,5,4,1978,1986,3661
38911,Wilbur Lewellen,11.693169,9,9,5,1972,1987,3661
40220,Thomas Ingram,6.50601,9,7,6,1982,1986,3661
39993,Robert Cooper,7.08224,9,5,6,1977,1987,3661
40281,Lawrence Chonko,6.655464,9,7,6,1983,1987,3661
40311,Steven Skinner,6.55765,9,10,6,1980,1986,3661
40601,Samuel Rabino,11.387431,9,5,6,1980,1987,3661
42597,Richard Oliver,6.034153,9,8,7,1977,1987,3661
